Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
342;26.8;-4.05;1;4;100;6;6;0;0;15.6;2
343;19.9;-6.35;1;4;100;3;3;0;0;14.5;3
344;20.6;-6.35;1;4;100;4;3;0;0;12.8;3
345;28.9;-3.75;1;4;100;6;6;0;0;16.4;2
346;24.2;-4.95;1;4;100;5;4;0;0;19.1;4
347;35.0;-2.95;1;4;100;6;6;0;0;29.2;3
348;27.5;-4.25;1;4;100;6;5;0;0;20.0;2
349;46.8;-0.15;1;4;100;8;8;2;1;26.5;2
350;43.2;-0.77;1;6;130;8;7;1;1;13.8;2
351;26.0;-5.25;1;4;100;5;3;0;0;12.5;5
352;23.6;-6.45;1;4;100;3;2;0;0;17.5;3
353;44.3;-0.87;1;6;130;7;7;1;2;14.0;2
354;42.0;-1.25;1;4;100;7;7;2;2;18.0;5
355;30.7;-3.95;1;4;100;6;5;0;0;13.2;3
356;40.0;-3.75;1;4;100;3;3;0;2;34.0;4
357;22.1;-6.15;1;4;100;4;3;0;0;12.0;2
358;25.5;-5.15;1;4;100;4;4;0;0;20.4;3
359;34.9;-2.85;1;4;100;6;6;0;0;26.5;3
360;33.6;-3.65;1;4;100;5;5;0;0;27.9;2
361;30.3;-3.55;1;4;100;6;6;0;0;23.5;4
362;51.8;-0.25;1;4;100;8;8;0;1;15.1;5
363;28.3;-4.25;1;4;100;5;5;0;0;24.3;4
364;26.6;-5.05;1;4;100;4;4;0;0;19.4;3
365;23.7;-5.85;1;4;100;3;3;0;0;18.6;4
366;25.5;-4.95;1;4;100;4;4;0;0;18.4;3
367;44.7;-1.85;1;4;100;6;6;0;0;17.9;4
368;33.4;-3.15;1;4;100;6;6;0;0;20.2;2
369;29.6;-3.47;1;6;130;6;6;1;0;15.0;2
370;46.7;-1.75;1;4;100;6;6;0;0;31.1;5
371;38.9;-2.55;1;4;100;6;6;0;0;23.7;3
372;39.5;-2.45;1;4;100;6;6;0;0;33.3;4
373;59.0;1.74;1;6;130;9;9;1;1;19.3;3
374;27.2;-4.85;1;4;100;4;4;0;2;21.4;3
375;26.8;-5.05;1;4;100;4;4;0;0;20.8;4
376;24.5;-5.85;1;4;100;4;3;0;0;17.5;3
377;27.6;-4.85;1;4;100;5;4;0;0;19.0;4
378;38.6;-2.65;1;4;100;6;6;0;0;32.3;4
379;29.2;-3.85;1;4;100;6;6;0;0;19.5;3
380;29.1;-3.95;1;4;100;5;5;0;0;22.8;2
381;33.3;-3.25;1;4;100;6;6;0;0;22.7;3
382;25.5;-5.55;1;4;100;3;3;0;0;20.7;4
383;26.8;-6.05;1;4;100;3;2;0;0;21.8;6
384;37.9;-3.25;1;4;100;5;5;0;0;32.1;4
385;31.8;-4.35;1;4;100;5;4;0;0;24.5;4
386;28.6;-4.75;1;4;100;6;5;0;0;18.2;3
387;24.3;-6.05;1;4;100;3;3;0;0;20.2;3
388;45.1;-0.95;1;4;100;7;7;0;1;17.5;2
389;44.0;0.25;1;4;100;10;10;0;3;28.9;3
390;39.8;-2.25;1;4;100;6;6;2;0;20.3;4
391;34.7;-4.95;1;4;100;3;2;0;1;31.1;7
392;25.0;-5.75;1;4;100;4;3;0;0;18.9;3
393;44.9;-1.05;1;4;100;7;7;0;1;15.3;4
394;30.3;-4.65;1;4;100;5;4;0;0;24.1;4
395;16.9;-7.15;1;4;100;2;2;0;2;13.3;2
396;29.8;-4.15;1;4;100;5;5;1;1;11.4;3
397;29.3;-5.25;1;4;100;3;3;0;0;25.2;5
398;22.5;-6.05;1;4;100;3;3;0;0;16.0;2
399;23.9;-5.25;1;4;100;4;4;0;0;19.1;2
400;43.6;-2.35;1;4;100;6;5;2;1;38.7;5
401;31.8;-3.55;1;4;100;6;6;0;0;27.3;4
402;43.7;-2.15;1;4;100;6;6;3;0;27.2;2
403;25.1;-5.35;1;4;100;4;4;1;0;18.1;3
404;30.3;-4.15;1;4;100;6;5;0;0;20.4;3
405;36.8;-2.35;1;4;100;7;6;0;1;15.4;4
406;20.3;-6.65;1;4;100;2;2;0;0;16.9;3
407;22.1;-6.55;1;4;100;2;2;0;0;17.9;3
408;17.3;-7.15;1;4;100;3;2;0;0;13.2;2
409;25.1;-5.15;1;4;100;5;4;0;0;18.2;3
410;26.6;-5.45;1;4;100;3;3;0;0;21.7;5
411;29.7;-4.35;1;4;100;5;5;1;0;20.2;3
412;23.6;-5.45;1;4;100;4;4;0;0;16.9;3
413;22.4;-5.45;1;4;100;4;4;0;0;15.2;2
414;40.5;-2.75;1;4;100;7;6;0;1;16.6;3
415;37.7;-2.75;1;4;100;6;6;1;0;19.5;3
416;35.1;-3.05;1;4;100;6;6;0;0;29.5;4
417;26.8;-5.05;1;4;100;4;4;0;0;18.7;4
418;33.0;-3.25;1;4;100;6;6;0;0;24.8;3
419;41.6;-1.67;1;7;155;6;6;2;0;14.3;3
420;43.4;-1.35;1;4;100;7;7;2;1;19.3;2
421;25.5;-5.25;1;4;100;3;3;0;2;17.5;2
422;22.3;-5.95;1;4;100;4;3;1;1;15.9;3
423;43.2;-1.95;1;4;100;6;6;0;1;37.7;4
424;51.2;-0.95;1;6;130;6;6;2;1;41.7;7
425;26.0;-4.85;1;4;100;4;4;0;1;19.6;3
426;21.8;-6.55;1;4;100;3;2;0;1;17.3;4
427;33.1;-3.35;1;4;100;6;6;0;0;24.8;2
428;23.7;-5.75;1;4;100;3;3;0;1;17.0;3
429;40.0;-2.07;1;6;130;6;6;1;0;20.3;3
430;25.3;-5.25;1;4;100;4;4;0;0;16.4;2
431;28.0;-4.25;1;4;100;5;5;0;0;22.7;4
432;42.3;-1.97;1;6;130;6;6;2;1;27.5;4
433;29.2;-4.15;1;4;100;6;5;0;0;16.7;4
434;27.1;-4.75;1;4;100;5;4;0;1;18.9;3
435;26.2;-6.15;1;4;100;3;2;0;0;21.3;3
436;26.5;-4.55;1;4;100;5;5;0;0;18.2;3
