Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
490;38.2;6.37;1;5;125;9;6;1;4
491;51.4;12.65;1;5;125;9;8;3;5
492;25.8;-6.78;1;6;150;5;2;2;1
493;33.6;3.27;1;6;130;6;5;1;1
494;54.1;12.50;1;6;130;11;8;3;3
495;57.8;6.84;1;4;100;7;6;5;2
496;41.3;0.02;1;4;100;6;4;1;2
497;76.9;16.15;1;7;155;9;9;3;6
498;36.8;-2.96;1;4;100;5;3;2;3
499;21.8;-0.42;1;4;100;6;4;1;0
500;52.9;10.10;1;5;125;9;7;4;4
501;26.5;-9.24;1;4;100;3;1;1;2
502;78.5;6.86;1;7;160;8;6;5;4
503;28.5;0.00;1;4;100;5;4;1;1
504;40.0;6.36;1;4;100;7;6;0;2
505;46.0;12.70;1;4;100;10;8;0;4
506;51.2;6.92;1;4;100;7;6;3;6
507;57.1;3.48;1;6;130;7;5;5;3
508;48.1;11.81;1;7;175;10;8;3;2
509;45.8;3.36;1;4;100;6;5;2;4
510;33.2;-0.02;1;4;100;6;4;0;1
511;33.4;-6.02;1;4;100;4;2;0;2
512;47.4;7.00;1;4;100;8;6;0;5
513;44.5;0.48;1;4;100;5;4;2;3
514;39.1;6.65;1;6;130;9;6;2;3
515;59.4;10.27;1;5;125;8;7;2;6
516;28.0;-0.22;1;5;125;6;4;2;0
517;99.9;20.15;1;7;175;14;10;8;8
518;75.9;1.48;1;4;100;5;4;5;2
519;43.7;9.00;1;6;130;9;7;2;2
520;26.7;-9.22;1;4;100;3;1;0;0
521;53.7;13.12;1;4;100;10;8;3;4
522;56.2;5.74;1;8;180;7;6;5;2
523;64.2;12.76;1;6;150;9;8;6;2
524;22.9;-0.61;1;5;125;6;4;1;0
525;39.5;0.52;1;4;100;6;4;1;5
526;43.4;3.28;1;4;100;5;5;5;1
527;48.9;3.67;1;5;125;7;5;2;4
528;59.2;9.72;1;6;130;8;7;3;4
529;31.2;-2.96;1;4;100;4;3;1;3
530;37.3;6.28;1;4;100;8;6;2;2
531;68.9;22.04;1;9;205;13;11;6;4
532;58.3;16.26;1;4;100;11;9;1;6
533;41.9;0.15;1;5;125;6;4;3;3
534;113.8;47.01;1;9;215;21;19;5;10
535;35.3;-2.76;1;4;100;5;3;2;3
